protein,gene,EN-181-11_T,EN-216-11_T,EN-430-11_T,EN-454-11_T,EN-711-16_T,EN-716-11_T,EN-797-18_T,EN-181-11_N,EN-216-11_N,EN-430-11_N,EN-454-11_N,EN-711-16_N,EN-716-11_N,EN-797-18_N
HNRPM,HNRNPM,284200000,242120000,101090000,92040000,787910000,600010000,907890000,146410000,112630000,71781000,61266000,312710000,121700000,128390000
MYOF,MYOF,37507000,59114000,60134000,13040000,576060000,608490000,200250000,11805000,26874000,49740000,10226000,154110000,169060000,45356000
CO1A1,COL1A1,16636000,684980,37872,112260,24914000,15022000,48435000,NA,637980,2284700,529950,9058500,16082000,3030700
RRBP1,RRBP1,95560000,266040000,285220000,107020000,1063100000,629460000,511430000,19890000,40208000,36616000,26284000,118540000,93174000,44198000
HYOU1,HYOU1,264890000,203340000,348660000,101970000,574700000,584870000,532410000,36191000,67353000,104720000,74161000,114630000,90096000,93838000
COPA,COPA,132500000,99789000,121440000,98454000,646480000,655510000,225650000,28701000,52407000,49211000,40336000,153340000,158110000,108640000
CH60,HSPD1,2071900000,1580600000,3618600000,1837700000,4673800000,4468400000,6982800000,500160000,539480000,533040000,512160000,1574400000,1354600000,744480000
VIGLN,HDLBP,123320000,119080000,127360000,73779000,407950000,396930000,474960000,75476000,57245000,30110000,64158000,140880000,95458000,84026000
ENPL,HSP90B1,1095700000,1641500000,1801500000,681090000,5128900000,3634800000,4001200000,340930000,490460000,467320000,474080000,1559600000,959910000,381410000
SYAC,AARS1,234730000,243670000,182220000,131250000,513060000,1273000000,181550000,63416000,81797000,40381000,61885000,91188000,175790000,69263000
HNRPU,HNRNPU,625000000,991070000,1675600000,465510000,2265400000,2111600000,1556900000,175720000,452740000,191380000,172550000,590270000,332370000,199650000
HNRPL,HNRNPL,336670000,305970000,565200000,113710000,1592700000,1267700000,1466000000,67113000,88227000,49482000,38147000,332500000,398390000,232690000
SND1,SND1,161580000,520080000,967460000,226750000,1064900000,550330000,553790000,79236000,117100000,125150000,116470000,183470000,208710000,88589000
COPB,COPB1,142470000,159550000,424380000,106330000,691730000,624330000,483740000,38982000,58475000,56035000,74379000,223550000,252750000,53582000
COPG1,COPG1,120710000,146020000,94960000,82834000,627950000,574050000,276300000,16582000,29307000,41066000,76986000,162520000,172710000,57083000
PDIA3,PDIA3,2754800000,3132100000,4198300000,1144100000,8269200000,6914600000,4165300000,390410000,788770000,638280000,750170000,1624900000,1797000000,1303200000
IQGA2,IQGAP2,16598000,34144000,4183000,10973000,100070000,69949000,7950000,1168000,2301900,318030,776050,8119100,19969000,1668700
BIP,HSPA5,1464100000,2316400000,878990000,1061800000,5163800000,4158500000,4148800000,276500000,450240000,496590000,345610000,1609900000,964320000,478390000
PARP1,PARP1,125920000,141950000,76355000,55463000,408080000,201830000,242980000,18015000,44898000,62080000,37511000,93427000,77853000,33321000
DHX9,DHX9,222030000,156390000,375090000,77444000,803580000,824830000,802620000,29987000,69361000,49481000,49542000,168420000,97689000,81230000
GANAB,GANAB,284380000,501720000,742420000,161630000,2258400000,1747200000,1157900000,160220000,195990000,218500000,133750000,638750000,624910000,206420000
TRFL,LTF,204280000,1845900000,1472500000,189640000,749820000,789660000,379490000,227590000,227850000,147420000,224140000,229210000,70323000,48285000
PDIA4,PDIA4,406400000,763760000,783650000,241830000,2025800000,1424400000,899390000,62850000,84551000,111270000,92881000,291840000,95175000,116940000
